scope,house_a,house_b,origin_a,origin_b,both_emigre,same_origin_group,weight,shared_days
all_crises,B. W. Blydenstein & Co,Eastern Bank,Emigre: German & Central European,Colonial / Imperial bank,False,False,0.40967324519935133,12
all_crises,B. W. Blydenstein & Co,Hongkong & Shanghai Banking Corp.,Emigre: German & Central European,Colonial / Imperial bank,False,False,0.5204164998665332,13
all_crises,B. W. Blydenstein & Co,International Banking Corporation,Emigre: German & Central European,Emigre: American,True,False,0.3038218101251,6
all_crises,B. W. Blydenstein & Co,Mercantile Bank of India,Emigre: German & Central European,Colonial / Imperial bank,False,False,0.3721042037676254,9
all_crises,B. W. Blydenstein & Co,Ryder & Co,Emigre: German & Central European,British: discount house,False,False,0.41344911529736156,10
all_crises,B. W. Blydenstein & Co,"Daniell, Cazenove & Co",Emigre: German & Central European,British: private / merchant (native),False,False,0.431433485952956,14
all_crises,B. W. Blydenstein & Co,Gillett Brothers,Emigre: German & Central European,British: discount house,False,False,0.40032038451271784,10
all_crises,B. W. Blydenstein & Co,National Bank of India,Emigre: German & Central European,Colonial / Imperial bank,False,False,0.32025630761017426,10
all_crises,B. W. Blydenstein & Co,British Bank of South America,Emigre: German & Central European,Colonial / Imperial bank,False,False,0.3698001308168194,8
all_crises,B. W. Blydenstein & Co,London Hanseatic Bank,Emigre: German & Central European,Foreign bank (1914 wartime),False,False,0.30261376633440124,5
all_crises,B. W. Blydenstein & Co,Union Discount Co. of London,Emigre: German & Central European,British: discount house,False,False,0.44752340751875797,17
all_crises,B. W. Blydenstein & Co,Credito Italiano,Emigre: German & Central European,Foreign bank (1914 wartime),False,False,0.35445877847928337,7
all_crises,B. W. Blydenstein & Co,London County & Westminster Bank,Emigre: German & Central European,British: clearing / joint-stock bank,False,False,0.4803844614152614,27
all_crises,B. W. Blydenstein & Co,Parr's Bank,Emigre: German & Central European,British: clearing / joint-stock bank,False,False,0.44083101502238703,24
all_crises,B. W. Blydenstein & Co,Comptoir National d'Escompte de Paris,Emigre: German & Central European,Foreign bank (1914 wartime),False,False,0.30050125348238005,9
all_crises,B. W. Blydenstein & Co,National Provincial Bank,Emigre: German & Central European,British: clearing / joint-stock bank,False,False,0.3595462477533374,11
all_crises,B. W. Blydenstein & Co,"Glyn, Mills, Currie & Co",Emigre: German & Central European,British: private / merchant (native),False,False,0.3501094262962487,14
all_crises,B. W. Blydenstein & Co,Royal Bank of Scotland,Emigre: German & Central European,British: clearing / joint-stock bank,False,False,0.3268602252303067,10
all_crises,B. W. Blydenstein & Co,Union of London & Smiths Bank,Emigre: German & Central European,British: clearing / joint-stock bank,False,False,0.4024844959379243,26
all_crises,B. W. Blydenstein & Co,London & South Western Bank,Emigre: German & Central European,British: clearing / joint-stock bank,False,False,0.30050125348238005,9
all_crises,B. W. Blydenstein & Co,Lloyds Bank,Emigre: German & Central European,British: clearing / joint-stock bank,False,False,0.32025630761017426,14
all_crises,B. W. Blydenstein & Co,Standard Bank of South Africa,Emigre: German & Central European,Colonial / Imperial bank,False,False,0.323575114464717,7
all_crises,"Baker, Duncombe & Co",Brightwen & Co,British: private / merchant (native),British: private / merchant (native),False,True,0.4497447963422649,14
all_crises,"Baker, Duncombe & Co",C. J. Hambro & Son,British: private / merchant (native),Emigre: German & Central European,False,False,0.34412360080584264,9
all_crises,"Baker, Duncombe & Co",Canadian Bank of Commerce,British: private / merchant (native),Colonial / Imperial bank,False,False,0.40555355282690636,5
all_crises,"Baker, Duncombe & Co",Cunliffe Brothers,British: private / merchant (native),British: private / merchant (native),False,True,0.3605104389394542,11
all_crises,"Baker, Duncombe & Co",King & Foa,British: private / merchant (native),Emigre: Greek & Levantine,False,False,0.5309942440535915,15
all_crises,"Baker, Duncombe & Co","Reeves, Whitburn & Co",British: private / merchant (native),British: private / merchant (native),False,True,0.5445100807792042,13
all_crises,"Baker, Duncombe & Co","Smith, St Aubyn & Co",British: private / merchant (native),British: discount house,False,False,0.39344473768231686,10
all_crises,"Baker, Duncombe & Co","Chartered Bank of India, Australia & China",British: private / merchant (native),Colonial / Imperial bank,False,False,0.3441236008058426,6
all_crises,"Baker, Duncombe & Co","Daniell, Cazenove & Co",British: private / merchant (native),British: private / merchant (native),False,True,0.44151078568834795,10
all_crises,"Baker, Duncombe & Co",Eastern Bank,British: private / merchant (native),Colonial / Imperial bank,False,False,0.34238119163116293,7
all_crises,"Baker, Duncombe & Co",Gillett Brothers,British: private / merchant (native),British: discount house,False,False,0.4588314677411235,8
all_crises,"Baker, Duncombe & Co",Mercantile Bank of India,British: private / merchant (native),Colonial / Imperial bank,False,False,0.3554093266554554,6
all_crises,"Baker, Duncombe & Co",National Bank of India,British: private / merchant (native),Colonial / Imperial bank,False,False,0.3670651741928988,8
all_crises,"Baker, Duncombe & Co",Ryder & Co,British: private / merchant (native),British: discount house,False,False,0.4146442144313646,7
all_crises,"Baker, Duncombe & Co",National Discount Co.,British: private / merchant (native),British: discount house,False,False,0.309344112444873,10
all_crises,"Baker, Duncombe & Co",Union Discount Co. of London,British: private / merchant (native),British: discount house,False,False,0.41487285752259284,11
all_crises,"Baker, Duncombe & Co",Baring Brothers & Co,British: private / merchant (native),British: private / merchant (native),False,True,0.3244428422615251,4
all_crises,"Baker, Duncombe & Co",Banca Commerciale Italiana,British: private / merchant (native),Foreign bank (1914 wartime),False,False,0.3458572319330373,5
all_crises,"Baker, Duncombe & Co",Parr's Bank,British: private / merchant (native),British: clearing / joint-stock bank,False,False,0.3157894736842105,12
all_crises,"Baker, Duncombe & Co",National Provincial Bank,British: private / merchant (native),British: clearing / joint-stock bank,False,False,0.4214636152117623,9
all_crises,"Baker, Duncombe & Co","Glyn, Mills, Currie & Co",British: private / merchant (native),British: private / merchant (native),False,True,0.32245846375500836,9
all_crises,"Baker, Duncombe & Co",London & Brazilian Bank,British: private / merchant (native),Colonial / Imperial bank,False,False,0.3823595564509363,5
all_crises,Banca Commerciale Italiana,National Bank of India,Foreign bank (1914 wartime),Colonial / Imperial bank,False,False,0.3618136134933163,6
all_crises,Banca Commerciale Italiana,National Discount Co.,Foreign bank (1914 wartime),British: discount house,False,False,0.3252462512726967,8
all_crises,Banca Commerciale Italiana,Union Discount Co. of London,Foreign bank (1914 wartime),British: discount house,False,False,0.4461134373869487,9
all_crises,Banca Commerciale Italiana,"Glyn, Mills, Currie & Co",Foreign bank (1914 wartime),British: private / merchant (native),False,False,0.32961712654360775,7
all_crises,Bank of Montreal,"Glyn, Mills, Currie & Co",Colonial / Imperial bank,British: private / merchant (native),False,False,0.3225911354182047,8
all_crises,Bank of Montreal,King & Foa,Colonial / Imperial bank,Emigre: Greek & Levantine,False,False,0.3585685828003181,9
all_crises,Bank of Montreal,Lloyds Bank,Colonial / Imperial bank,British: clearing / joint-stock bank,False,False,0.36885555678165877,10
all_crises,Bank of Montreal,National Provincial Bank,Colonial / Imperial bank,British: clearing / joint-stock bank,False,False,0.31622776601683794,6
all_crises,Bank of Montreal,Parr's Bank,Colonial / Imperial bank,British: clearing / joint-stock bank,False,False,0.38502677054341,13
all_crises,Bank of Montreal,Union of London & Smiths Bank,Colonial / Imperial bank,British: clearing / joint-stock bank,False,False,0.3744154322244884,15
all_crises,Bank of Montreal,Royal Bank of Scotland,Colonial / Imperial bank,British: clearing / joint-stock bank,False,False,0.31622776601683794,6
